Taxa,ATG,Busulfan,Cyclophosphamide,Fludarabine,Melphalan,VP16,Total.Body.Irradiation,Thiotepa,Methotrexate,Trimethoprim.sulfamethoxazole,Phenoxymethylpenicillin,Amoxicillin,Cefuroxime,Ceftazidime,Ciprofloxacin,Metronidazole,Meropenem,Vancomycin,Linezolid,nodeColor
R. dentocariosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058881359,0.012304744,NA,NA,NA,NA,NA,NA,Actinobacteria
R. mucilaginosa,NA,NA,NA,NA,NA,NA,NA,0.033624232,NA,NA,NA,NA,0.027158284,0.022566087,NA,NA,NA,NA,NA,Actinobacteria
B. longum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416712984,Actinobacteria
C. aerofaciens,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.050082381,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actinobacteria
B. caccae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473401234,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. fragilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.351054146,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. ovatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.426901172,NA,NA,NA,NA,NA,NA,Bacteroidetes
B. uniformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.461040949,0.830493919,1.059897764,NA,NA,NA,NA,0.534401946,0.427084723,NA,Bacteroidetes
P. distasonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.313552769,NA,Bacteroidetes
A. onderdonkii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283313022,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
A. putredinis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176822855,NA,NA,Bacteroidetes
L. delbrueckii,NA,0.305541846,0.19583311,0.261398103,0.305541846,0.305541846,0.231791718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078388805,NA,Firmicutes
L. salivarius,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.740982482,NA,NA,NA,NA,NA,NA,NA,0.487577429,NA,Firmicutes
S. infantis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097355551,0.535716301,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. celatum,NA,NA,NA,0.348244401,NA,NA,NA,NA,0.406133138,NA,NA,NA,NA,0.24620682,NA,NA,NA,NA,NA,Firmicutes
C. paraputrificum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113872883,NA,NA,NA,0.057723555,NA,NA,0.041572496,NA,Firmicutes
R. torques,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108229428,0.099077234,NA,NA,NA,NA,NA,NA,NA,Firmicutes
B. producta,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.829720777,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. citroniae,NA,NA,NA,NA,NA,NA,NA,0.003441053,NA,NA,0.002267988,NA,0.002872972,NA,0.001155618,NA,NA,NA,NA,Firmicutes
C. hathewayi,NA,1.090731571,NA,0.965947575,1.090731571,1.090731571,NA,1.174835928,1.102764285,0.442678387,NA,0.712115182,NA,0.763517825,NA,NA,NA,NA,NA,Firmicutes
C. lavalense,NA,NA,NA,NA,NA,NA,NA,0.01250677,NA,NA,0.008307065,NA,0.010429243,0.008174608,NA,NA,NA,NA,0.009461902,Firmicutes
C. symbiosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048592326,NA,NA,NA,0.108081387,Firmicutes
D. longicatena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071568042,NA,NA,NA,NA,NA,NA,NA,Firmicutes
R. faecis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.895307676,NA,NA,NA,0.462581457,NA,NA,0.341082819,NA,Firmicutes
B. pullicaecorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033831075,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. methylpentosum,NA,NA,NA,NA,NA,NA,NA,NA,0.009722239,0.003720101,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
F. prausnitzii,NA,NA,NA,NA,NA,NA,NA,NA,2.72967511,NA,NA,NA,NA,NA,0.942174744,NA,NA,0.703374567,2.117678765,Firmicutes
G. formicilis,1.20190463,NA,0.463893776,NA,NA,NA,NA,NA,NA,NA,0.488715274,0.469851702,NA,NA,0.254707348,NA,NA,0.187067158,NA,Firmicutes
R. bromii,NA,NA,NA,NA,NA,NA,NA,NA,1.00350767,NA,NA,NA,NA,NA,NA,NA,0.446786822,0.250891821,NA,Firmicutes
V. dispar,3.612208887,NA,NA,NA,NA,NA,NA,2.121101334,NA,NA,1.426013699,NA,1.791286482,NA,NA,NA,NA,NA,NA,Firmicutes
V. parvula,NA,NA,NA,0.455226425,NA,NA,NA,NA,0.525502083,NA,NA,NA,NA,NA,0.184179944,NA,NA,NA,NA,Firmicutes
E. dolichum,NA,6.938549951,4.582337267,NA,6.938549951,6.938549951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
C. spiroforme,NA,1.706004552,NA,NA,1.706004552,1.706004552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
A. muciniphila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.780940373,NA,NA,NA,NA,NA,NA,NA,NA,Verrucomicrobia
